"","AWS","Azure","Google Cloud"
"Blockchain","Amazon Managed Blockchain (AMB), Amazon Quantum Ledger Database (QLDB)","Microsoft Azure confidential ledger","Blockchain Node Engine"
"In-memory data store","Amazon ElastiCache, Amazon MemoryDB","Azure Cache for Redis","Memorystore"
"NoSQL: Column-family","Amazon Keyspaces (for Apache Cassandra)","Azure Cosmos DB","Bigtable"
"NoSQL: Document","Amazon DocumentDB (with MongoDB compatibility)","Azure Cosmos DB","Firestore, Firebase Realtime Database"
"NoSQL: Graph","Amazon Neptune","Azure Cosmos DB for Apache Gremlin","Neo4j on Google Cloud"
"NoSQL: Key-value","Amazon DynamoDB","Azure Cosmos DB","Bigtable, Firestore"
"Relational database management system","Amazon Aurora, Amazon Relational Database Service (RDS), Amazon Redshift","Azure SQL Database, Azure Cosmos DB for PostgreSQL, Azure Database for MariaDB","AlloyDB for PostgreSQL, Cloud SQL, Cloud Spanner"
"Time-series database","Amazon Timestream","Azure Time Series Insights","Bigtable"
